distance_to_merchant,hour_of_day,is_weekend,budget_utilization,merchant_regret_rate,dwell_time,purchase_occurred
232,12,1,0.21481477417293948,0.3463442973874574,521,0
246,9,0,0.6879322056154079,0.22437610758868232,387,0
316,22,0,0.9925345064630962,0.9440695479994938,311,1
52,19,1,0.33160166566937266,0.42309177045444846,310,0
361,5,0,0.6825673746569116,0.3780956266373514,63,0
440,16,1,0.6299531682736714,0.4471606405670122,450,0
419,5,1,0.6732740848660443,0.4692686056466404,590,0
438,20,1,0.2798421459579056,0.8178919130419916,114,0
411,22,1,0.7867698973677385,0.7169154329151671,148,1
117,10,0,0.29762896426561836,0.7035314732125484,333,0
22,11,1,0.9673666817697056,0.48589777560002256,36,0
373,18,0,0.96936942753077,0.46645778888734424,148,0
190,21,0,0.5923991743130983,0.3142494828564426,54,0
304,11,0,0.6875574736652126,0.8239804442702684,272,0
379,9,1,0.1740134513514875,0.2875009477541024,356,0
183,8,0,0.4302855448028383,0.8564589140095443,171,0
411,13,1,0.5564165074314071,0.16375872708425532,512,0
409,6,0,0.7548392839164861,0.23182854985498924,385,0
277,9,0,0.5670492979640884,0.998575371738782,228,0
415,6,1,0.4827414341530092,0.227204583823422,121,0
154,23,1,0.2674592408671953,0.6421669198515543,237,0
42,0,1,0.27698340191209614,0.47423325507254666,41,0
478,0,1,0.09839029804280786,0.6726766081428381,212,0
483,8,1,0.11645548861610366,0.3779897224811325,121,0
354,12,1,0.5200176876633622,0.007692023705093698,217,0
435,9,0,0.7921740060092658,0.30297829195073256,505,0
315,22,0,0.07728665410641977,0.4849070073678282,347,0
224,4,1,0.8157856917798904,0.15596395360113646,90,0
463,14,1,0.12264441755878641,0.6459346712439663,106,0
422,10,1,0.45070614332036907,0.1894250370954378,149,0
425,9,0,0.9682385329970362,0.47584952556495663,337,0
66,9,0,0.39299008073385755,0.14598667047332514,426,0
396,14,0,0.768428027725937,0.43598287472063335,327,0
87,6,1,0.5451839352119473,0.9458379219942408,497,0
353,23,1,0.8780584339731682,0.605784309166941,203,0
39,4,1,0.5273311817497466,0.2541878059982621,168,0
402,14,1,0.5985220026679133,0.4638123216143034,447,0
263,17,0,0.12148539843044381,0.44876062113037174,458,0
298,20,0,0.43492139727643697,0.04401062837067893,586,0
161,5,1,0.27355845996480277,0.20861556220562205,572,0
97,4,0,0.5275404037409437,0.4187301394528278,347,0
418,21,0,0.353817441761586,0.8930684683050085,294,0
58,13,1,0.6531816461314479,0.0667156097526268,236,0
276,2,1,0.13528831848232103,0.5503636171912679,510,0
419,4,0,0.8802012604307855,0.8471878004798324,426,1
400,15,0,0.29261902926639605,0.7654636844812412,172,0
102,5,1,0.9678578231575693,0.9804138904928484,354,1
397,14,0,0.33896189885598205,0.7719704055499182,347,0
259,15,1,0.6692044626731418,0.5807090927532282,362,0
100,1,1,0.17160439196167243,0.2561762428886871,315,0
114,0,0,0.3340068188226214,0.6011376620462396,563,0
275,7,0,0.4153721521587599,0.36239582648086344,325,0
94,9,0,0.9888612561883243,0.287055911645303,384,0
271,22,1,0.018979651725068103,0.8795979238073428,324,1
132,10,1,0.5182398059057293,0.47146842772500197,437,0
231,11,0,0.313684929150871,0.5234401023882171,93,0
408,11,1,0.9462298921036484,0.9639208073324277,10,1
77,17,1,0.30119554506005586,0.8707814452244116,403,0
271,0,1,0.2902564297029514,0.14573599912643165,345,0
318,22,1,0.4091965578537504,0.7810500630226529,88,0
377,13,0,0.03605959016545013,0.26878240282264887,286,0
379,17,1,0.8958223529326865,0.07252472800757515,10,0
8,23,0,0.7741200308185553,0.9324120166863068,87,1
135,10,1,0.44992556048491716,0.5911714704414708,506,0
38,7,1,0.8882459410587886,0.8737553717334858,360,1
349,4,0,0.43153381329638574,0.19216249719128853,86,0
408,1,1,0.44143720733820435,0.21739544493937912,26,0
60,19,1,0.4181434297737213,0.4859592493510929,412,0
150,0,0,0.6536831740928468,0.4189864694246388,35,0
426,0,1,0.16834240846267323,0.14361589849336154,471,0
279,17,0,0.34694119535014034,0.4606177523885655,466,0
412,5,1,0.6903347555730887,0.8836571983216883,130,0
324,23,1,0.11304764948797708,0.2859517790369319,519,0
451,0,1,0.9678268007743115,0.7027506109703415,586,1
326,8,1,0.02737496313066312,0.9639901327646057,504,0
17,22,1,0.7099782808831633,0.017043794301264237,547,0
53,13,0,0.8855391065600413,0.010512018024816494,502,0
157,3,1,0.5279461943699636,0.9211156951098319,260,0
101,19,0,0.035897294027398274,0.7111223777414767,423,0
51,18,0,0.9859000773754729,0.23396826035142404,344,0
406,14,1,0.7430352967553971,0.6951430799235595,519,0
298,2,1,0.17015151809620377,0.1404751951942983,569,0
387,14,0,0.043183217500164406,0.40214712192735935,451,0
33,9,1,0.0419638543044234,0.9654580659642094,539,1
266,2,0,0.6318695022325843,0.5646224807930603,272,0
488,14,1,0.005204920664660606,0.8521051749993622,157,0
271,7,0,0.08806944551918927,0.09744559444132361,561,0
369,12,0,0.22084191660215524,0.12793184312784966,557,0
492,16,0,0.20719154977263154,0.9124066346099983,38,0
466,9,0,0.1805390763381035,0.7655768174573652,567,0
1,9,0,0.2999062444687718,0.8619393209705447,16,1
58,4,0,0.9432708034679481,0.42512096416118383,297,0
194,21,1,0.03690172691810678,0.46701680466405826,287,0
45,12,0,0.9815146848776765,0.2031841341984607,4,0
420,15,0,0.07170266560440897,0.7814355613562934,237,0
145,12,1,0.6687297636661788,0.6529331646892755,513,0
386,10,1,0.4039672454031945,0.7781697759142496,574,0
192,18,1,0.23502824240804931,0.25822341775054125,103,0
162,14,1,0.7174904626104325,0.7601387984020107,207,0
265,12,1,0.16268909411640187,0.84244190241735,230,0
439,5,1,0.08664392797854492,0.043450968513641164,171,0
169,20,1,0.8047030294177095,0.38803864599307825,107,0
207,13,1,0.4768216647951721,0.7135935729862289,312,0
366,10,0,0.6736372784685816,0.8768488402773272,597,0
241,21,1,0.09619155407559854,0.7229367766447914,321,0
111,17,1,0.9715600383318734,0.8780986600760234,445,1
87,10,1,0.29167357148875717,0.21211839648670272,518,0
423,20,1,0.9547747241872155,0.5812610078138204,162,0
57,21,0,0.032181221669465354,0.39067324899715883,588,0
232,10,0,0.8385405854736628,0.5664426117970365,478,0
331,9,1,0.20040925210353333,0.22962828421166748,107,0
207,9,1,0.8315651665578804,0.6887422024761881,399,0
332,15,0,0.4868715506066513,0.4351916902217321,23,0
455,14,0,0.3435845343995517,0.4034193577145224,40,0
9,13,0,0.02833596639117686,0.2764520326648717,550,0
222,4,0,0.15641263676954054,0.04311175476710949,309,0
7,15,0,0.41432131188059074,0.05033470303943044,592,0
123,20,1,0.22226765332554643,0.7698158944345485,380,0
264,12,0,0.8321143444677147,0.8609903306159609,590,1
101,4,1,0.5488343680955388,0.9393503647577133,193,0
461,13,0,0.03635663631723074,0.24348731730613282,303,0
352,13,1,0.16127456916429495,0.3629568292521743,479,0
157,15,0,0.985287258156005,0.5437993856667762,251,0
170,22,1,0.8047455941539061,0.46805533736885996,196,0
291,12,0,0.9113803017164595,0.11195128772960272,331,0
308,9,0,0.4353568224964588,0.9040828158468716,210,0
305,5,0,0.6835640312058815,0.9733824918284464,55,0
457,18,1,0.5192050615357335,0.8195330165554487,448,0
301,21,1,0.8886815136996079,0.7321942191368921,301,1
165,23,1,0.9867504775077617,0.29391564130665515,428,0
61,13,1,0.6847554427217324,0.06981298902604138,279,0
417,0,0,0.3092796337791369,0.8607484252959471,476,0
314,8,1,0.20999651427915667,0.18960582274899784,408,0
368,4,1,0.2337623221406676,0.0005272264441416041,183,0
344,9,0,0.577790155666765,0.3407072767137056,207,0
481,7,0,0.92882228627481,0.3068545474763372,552,0
378,7,1,0.035398074384871525,0.8650029650927169,45,0
83,17,1,0.9607029675918233,0.05969605955712465,50,0
26,14,0,0.3062706218332273,0.9045963529106968,166,0
36,5,1,0.6256299141951571,0.2652825966031156,368,0
235,21,1,0.8895726538623678,0.2871570034500732,404,0
426,17,1,0.9320360357418782,0.1540879096596124,332,0
121,9,0,0.737142832521298,0.43384451179878103,263,0
188,14,0,0.4898905701913042,0.37496262609033326,231,0
364,0,0,0.7264437190741593,0.2331988661880563,365,0
352,5,1,0.06992206303216608,0.4802895711618699,534,0
358,20,0,0.59595366099974,0.9976434664204867,294,0
303,16,1,0.5596345282978872,0.883105907857678,366,0
27,13,0,0.8711287948703036,0.5239566873489618,97,0
22,20,0,0.06445543044830837,0.3491294377225903,543,0
90,13,1,0.993250103780239,0.5168719494499755,55,0
228,7,1,0.876102166041704,0.8415985760467272,327,1
128,12,0,0.2058299762395417,0.8527606478929167,8,0
476,13,1,0.3461867107188241,0.2288164905107699,55,0
132,23,0,0.5614924282434143,0.805298326516661,501,0
51,12,1,0.44829148103994865,0.39195126223874066,327,0
79,3,0,0.7303568544639601,0.6955809144691609,430,0
297,17,1,0.7605010349932997,0.19223744489736305,528,0
81,16,1,0.4058853281854291,0.8932222800107468,556,0
234,20,1,0.8030951909254755,0.02719572607205356,323,0
336,19,1,0.2577645806715897,0.33660471846267903,440,0
117,15,1,0.10354115376441253,0.34021658291980106,377,0
361,20,0,0.416377401847293,0.6325234653971552,85,0
105,2,0,0.40274942289815163,0.7081191309664477,253,0
463,18,0,0.7690950011648416,0.756986364209701,551,0
10,11,1,0.5364758057750744,0.04187206524324494,269,0
104,7,1,0.830899178155192,0.6438842124684326,534,0
222,17,0,0.4447300034805448,0.7989077300657567,313,0
433,1,1,0.09743333602076709,0.39330320315930867,172,0
452,2,1,0.9009164670218868,0.6070042113986361,114,0
449,19,0,0.3949867158641934,0.621454159480121,102,0
370,13,0,0.21823618460828864,0.2294705660051264,143,0
263,19,0,0.7546415976977277,0.7936751373659529,451,0
360,13,0,0.25826591234923735,0.3490857243793577,437,0
456,14,0,0.2134526126436722,0.8750035733828149,500,0
407,5,0,0.6875647585045912,0.7901969279368688,12,0
378,22,1,0.0641885243652841,0.38561376484944787,359,0
384,20,1,0.15063140081119875,0.8576256784243872,211,0
62,15,1,0.7155165310389184,0.8205130412591592,493,0
42,20,0,0.7104495919724098,0.92056731986275,42,0
489,12,1,0.2596543433937647,0.9928905763432238,586,0
194,14,1,0.42531662561662253,0.7909156225572936,432,0
367,3,0,0.4339055398660048,0.9938432998028645,299,0
146,5,0,0.8414287565937337,0.7216832008373902,122,1
43,7,1,0.4690038539160096,0.19353830673494077,496,0
253,21,0,0.9482671679734338,0.6773358974054348,213,0
299,0,0,0.6700604950327151,0.5108927913975835,330,0
451,19,1,0.04124465557155044,0.9960776933386808,589,0
98,3,0,0.4737570930551652,0.3249061558130012,215,0
151,10,0,0.11965920362147542,0.5551804280142032,156,0
499,13,1,0.24006259251709416,0.4349715473221658,531,0
362,23,0,0.8563492502793034,0.5357522686034633,579,0
165,4,1,0.22269098432630285,0.019595886441943766,531,0
77,17,0,0.06923814768637937,0.7099363276435945,266,0
418,11,0,0.6052868094264555,0.8565374847837011,16,0
331,17,1,0.8745449174272593,0.5105397513415365,329,0
486,6,1,0.7885330240276349,0.30468256764096247,241,0
339,1,0,0.2538620568137203,0.8588386612079033,453,0
431,7,0,0.416127626225801,0.4687666071407459,507,0
477,16,1,0.7537651111134389,0.48204445990041955,5,0
465,18,1,0.3526730438996276,0.6181376360037216,166,0
89,10,0,0.328889143927769,0.6137415131954788,480,0
393,6,1,0.608819765891185,0.3446377779539923,51,0
346,3,1,0.7211350140535062,0.03797904983652345,21,0
493,8,1,0.5657925614681834,0.8281431052107782,3,0
467,1,0,0.8490691468771072,0.16412201651698022,470,0
318,0,1,0.26254688926851777,0.752647366255156,529,0
47,4,0,0.8700429157248059,0.06581780425216333,310,0
283,13,1,0.34908348854564086,0.688795569205052,417,0
166,13,0,0.8243848821590565,0.3614754419297618,198,0
453,13,1,0.4674158096859462,0.5057576861119586,189,0
115,8,1,0.20118639080809175,0.2691921824923871,207,0
256,18,0,0.3288016343749278,0.24043005193037725,235,0
290,12,0,0.6397792085813988,0.5217831170037623,551,0
399,17,1,0.2644782280303223,0.37304170046029006,481,0
152,13,0,0.8106980330282153,0.4652799107981842,542,0
236,13,0,0.4089751616517602,0.9297747148082826,118,0
207,13,0,0.4876334653580099,0.3524482106628438,539,0
156,10,1,0.20230635173585831,0.43890036132877097,541,0
164,0,0,0.4185247047465376,0.37515250799224675,142,0
27,17,0,0.9925514966932963,0.6030712276177919,444,0
209,12,1,0.6359706070233724,0.8616926025387159,5,0
468,2,1,0.690765880891122,0.9277331650274315,170,0
462,2,1,0.15268151835894794,0.5231037363247559,469,0
218,6,0,0.752656501104551,0.7749670046816541,442,0
275,0,0,0.6077927430289223,0.9491169399507136,37,0
142,13,1,0.22872987031044023,0.17124258110830015,3,0
362,17,0,0.8846876523620956,0.09431104320518091,289,0
120,7,1,0.6390073819048598,0.04081894321885737,502,0
311,7,1,0.06091325245532908,0.26759414571444384,189,0
386,12,0,0.1726305911502105,0.11449612732249681,104,0
262,5,0,0.6280447327539281,0.16611690394120193,427,0
482,17,1,0.379228308502332,0.004283919420131843,118,0
228,2,1,0.9705847152273841,0.4535106029603153,131,0
374,9,1,0.28270320904037904,0.22055034031507614,300,0
457,17,0,0.47782361642763604,0.655597393338349,237,0
69,8,1,0.056860399124458394,0.7633174001641342,72,0
413,7,1,0.4279712945655416,0.4775186008519936,590,0
35,11,1,0.5368900070547913,0.08891726235456443,148,0
299,15,0,0.9523231120446549,0.5111177473441938,352,0
288,5,1,0.48810384173630317,0.8004591670048296,399,0
122,0,1,0.18761182649414054,0.27911186334019056,574,0
1,14,1,0.4109835033796656,0.15284011800137098,297,0
182,15,1,0.8350983551662419,0.5126889947686826,121,0
390,23,1,0.28014977759147264,0.37932757989012644,206,0
350,2,0,0.9998237391670095,0.9851819404172677,321,1
46,22,1,0.1232643190762941,0.9724666089962424,131,1
228,6,1,0.5194308088960066,0.982472020446344,476,0
335,23,0,0.48392659515376313,0.2001617973929144,54,0
358,21,0,0.04573037661802948,0.9832659040221629,175,1
289,23,0,0.49377648327034274,0.8533154830338678,79,0
297,0,1,0.43986863058294845,0.176880131923274,348,0
6,0,1,0.8790239433244662,0.15407347181826314,415,0
439,14,0,0.3594124049547015,0.028818931200510822,177,0
328,16,0,0.3273911461778394,0.07356763970118363,484,0
26,13,0,0.9203950693253822,0.2372129863995326,495,0
86,6,0,0.6649090327160014,0.10896732467160741,190,0
205,11,0,0.3192708152132633,0.020010378458356293,115,0
45,16,1,0.090241935175292,0.8501888420622333,416,1
52,8,0,0.9842110461136492,0.3163637939905519,547,0
198,22,1,0.32396850271018973,0.12406642200387874,383,0
467,2,1,0.5226499812177515,0.9586807838463948,57,0
205,7,0,0.7829884083513824,0.8854765864051162,419,0
478,12,0,0.16437857753623475,0.44706405987966025,406,0
265,9,1,0.411659539662682,0.536277071378831,536,0
375,9,1,0.008836435141243881,0.18704110208446534,586,0
220,11,1,0.2227706566874572,0.9188336007246146,370,0
488,17,0,0.09065877909620745,0.23416008255260146,22,0
172,1,0,0.5669616049098267,0.5674111651046165,583,0
242,6,0,0.6483561347905932,0.6512114759680377,329,0
86,15,1,0.909232776736445,0.41880150162380203,77,0
373,10,1,0.9823448942412448,0.06618057977746816,574,0
210,10,1,0.4173437341275077,0.6747261209537282,48,0
92,3,0,0.5332710354938673,0.6057008672248291,108,0
282,13,1,0.2701018118897063,0.5877170837209639,68,0
480,19,1,0.43832637767208726,0.355526289942647,294,0
453,22,1,0.6714681268240728,0.5637052170016102,427,0
194,13,1,0.3152227221776063,0.9410366979480412,230,0
60,17,0,0.06019322658897919,0.3627473846372282,53,0
261,18,1,0.04860541304675847,0.4500932492905354,178,0
154,16,1,0.6961142914518283,0.9237784007660989,110,0
52,15,1,0.5555615051611361,0.8113252520272004,213,0
382,13,1,0.30803710097552994,0.9898064173375004,319,0
146,9,1,0.6963675953087183,0.1888832280437699,209,0
243,22,1,0.9303044795057194,0.9241692437345326,230,1
354,0,1,0.05646804592596266,0.6495743124222482,592,0
368,0,1,0.48939445764220113,0.7026345517464215,540,0
81,7,0,0.7818187371747843,0.07910017202888564,326,0
9,10,0,0.4487839642589765,0.7006535243922842,129,0
158,10,1,0.6637865444232016,0.2866326638980199,248,0
147,8,0,0.8871182013334366,0.7231776741554065,228,1
190,7,1,0.24906130748886846,0.057420317591479364,167,0
250,18,0,0.7884659335890079,0.8563468459437081,205,0
384,2,0,0.5677294212218952,0.5077013997702928,234,0
215,18,0,0.22894215105187832,0.2993636979372717,389,0
406,14,0,0.751733065550393,0.4812099546293839,175,0
415,1,0,0.21315869670388388,0.8056871040446781,564,0
149,1,0,0.39403483399318273,0.2797377861699881,191,0
230,22,1,0.6818369756135642,0.3279222178792651,117,0
176,16,0,0.04508703130535241,0.7963807834689062,434,0
465,4,1,0.6394398030407153,0.6246290921534269,173,0
476,0,0,0.04603563366991592,0.39154754564806493,420,0
48,22,1,0.7619870276942394,0.7846200722373068,448,1
24,21,0,0.6612014182225003,0.32066804448005026,194,0
384,21,1,0.1554583561160795,0.7921692620025821,576,0
183,12,0,0.2486779222905311,0.1969453892156957,414,0
218,23,0,0.8680173158623388,0.7231835241180675,552,1
36,2,0,0.14842852390688732,0.9610859979187418,404,1
332,14,0,0.07405521722764874,0.8438828791331768,361,0
444,9,1,0.5215028206538052,0.17608473911871714,113,0
221,19,0,0.9299189412493114,0.8557606957520694,102,1
370,23,0,0.8580706032992941,0.8302735626590751,163,1
343,10,1,0.41753039991357843,0.9226422028715453,180,0
11,9,1,0.14523608485358142,0.5859639473898147,303,0
494,14,1,0.1799389218460512,0.6384017331882047,13,0
4,15,1,0.4649928469012484,0.04418665231277896,41,0
87,6,1,0.05275320117719451,0.4416025739284748,96,0
298,16,1,0.3298521293978023,0.185288431757058,406,0
131,13,0,0.696032741656149,0.09268904899804375,285,0
316,22,0,0.14152702659517247,0.8514950416700106,556,0
78,1,0,0.09019732715187789,0.374813126390668,239,0
374,20,1,0.841584265044416,0.518828071134506,275,0
190,2,0,0.7582037174711829,0.6405643448425418,288,0
125,13,1,0.8765660938799303,0.3595694556555302,162,0
221,1,1,0.25715486744966454,0.2713666481456902,13,0
281,4,0,0.12349678182267076,0.9859058031687794,298,0
144,17,1,0.9592627630410299,0.7972997535971431,325,1
85,3,0,0.09995371666665587,0.6250999952284111,411,0
179,10,1,0.4621216586236926,0.13645330496096497,297,0
372,21,1,0.009926270570594364,0.5376260729940741,61,0
80,11,0,0.06825686666915676,0.6669997770617276,217,0
118,3,0,0.8567779009953749,0.46694490513511366,395,0
176,22,0,0.9036528448482525,0.5018684690393274,383,0
99,7,0,0.17027053369013612,0.12837747504809172,448,0
55,13,1,0.6951989565820169,0.816503249264689,534,0
110,14,1,0.9316298862078152,0.4546557671967807,377,0
293,17,0,0.9758564707860575,0.5651372973960082,517,0
214,4,0,0.037610535365450004,0.008073905632904,246,0
333,22,1,0.5034669963230287,0.884135782787501,182,0
125,15,0,0.857571382855903,0.613757341256063,575,0
47,5,1,0.6964806708681063,0.33049551589373927,260,0
365,11,0,0.5048720408397996,0.691489833896143,497,0
219,20,0,0.2991007820639294,0.9052042342480594,30,0
471,14,1,0.19112911851144143,0.2853207250364389,534,0
387,0,0,0.9534171422148158,0.9163879803789915,120,1
452,13,0,0.52867153523894,0.7260102280640328,162,0
288,14,1,0.9692918325129445,0.740280659553403,243,1
137,5,0,0.868891059066356,0.09083800848394263,162,0
200,18,0,0.4666375637731519,0.4621517246574204,39,0
328,19,1,0.30822830021557934,0.5494406457150658,373,0
135,17,0,0.046170186666410706,0.2697048690310089,327,0
138,9,0,0.40549159009698144,0.3961593926497915,561,0
317,14,0,0.289813517920134,0.010122723985643955,326,0
402,16,0,0.5228413346664821,0.047757177779901516,394,0
389,2,1,0.3914064687705584,0.7802584551820425,579,0
1,14,0,0.602252062012615,0.4001737018236572,357,0
427,10,0,0.42849736203567723,0.49836128795498646,89,0
10,10,0,0.02539366592715886,0.046479916279750566,327,0
343,12,1,0.5481227795537649,0.31032951239054407,185,0
131,20,1,0.3176330228746317,0.2587938677620655,119,0
165,18,0,0.9110291186035754,0.04129369171913655,518,0
382,15,0,0.21388000286330344,0.799177692672945,113,0
98,16,1,0.335471375918722,0.3702188013450597,302,0
402,9,0,0.30515075827239935,0.5841930051637424,63,0
464,5,1,0.7526034109229096,0.9619207286762348,178,0
307,18,0,0.011748168714206142,0.11700574570907085,557,0
242,17,0,0.630668211174242,0.7175381667604409,47,0
269,20,1,0.20616259531314984,0.24670367097491475,523,0
143,1,1,0.4266636538081866,0.42062585101729855,299,0
227,18,1,0.3000104082849183,0.6342470188751251,183,0
252,4,1,0.12590500778642977,0.8033483860498611,512,0
208,13,1,0.8731371824002367,0.026967934440354058,205,0
307,19,1,0.7466365258126052,0.8156061262706344,151,0
463,19,1,0.5892091608636161,0.9739816491692611,426,0
287,13,0,0.831221930499452,0.1007355567340148,48,0
409,20,0,0.6316301320960314,0.2727825608809734,561,0
141,11,0,0.9486542951642657,0.9439590101002955,238,1
299,22,0,0.07840603063119866,0.42154758298389305,323,0
208,12,1,0.46535115788135695,0.578191672259119,545,0
410,4,0,0.25651596200081406,0.12829869370946123,141,0
199,4,1,0.45329530450983047,0.822938928249561,525,0
396,11,0,0.6466495988301426,0.1660466688636434,260,0
498,3,0,0.21739359348475396,0.8410781093760001,421,0
330,10,0,0.15293045887400858,0.9324680486173939,557,0
200,3,0,0.7107081511192429,0.14536669636064514,234,0
365,0,1,0.8063227895845457,0.22098651394541147,426,0
267,2,1,0.9301743652917686,0.885113882972814,525,1
320,4,1,0.7869202420775964,0.9721497701216512,108,0
133,6,1,0.787423512252244,0.05564901417369317,495,0
376,16,1,0.36845984467665094,0.9110643768657488,352,0
309,22,1,0.9152327694130329,0.8402703325688582,393,1
430,21,0,0.729585765856683,0.485007677087789,5,0
402,5,0,0.7967441537612002,0.6416971631367216,147,0
377,10,0,0.6581868242944426,0.5008875996277327,60,0
474,8,0,0.2633130869256075,0.7732295969812687,551,0
198,9,1,0.9716978937056028,0.7595668075805208,568,1
20,8,1,0.9211835204298036,0.9216133573542854,98,1
445,17,1,0.1212821833819222,0.9796589221111685,464,0
98,0,1,0.1514445655952933,0.20755464833000226,69,0
335,14,0,0.6993203844307951,0.7801587842406915,346,0
436,19,1,0.1344248270662941,0.9543826754645559,185,0
108,10,1,0.5558259418208988,0.29340122127538215,111,0
438,5,0,0.5440625395376751,0.1090199893645768,445,0
203,23,0,0.8042408200616589,0.3810955370640611,94,0
10,1,0,0.6304613519196534,0.3734457319985308,110,0
333,21,1,0.9867192964701504,0.018609332826691083,255,0
320,23,0,0.2596067118426799,0.24981050733385246,83,0
473,14,0,0.8154064581098212,0.5632597216704518,333,0
258,15,0,0.9974175012670271,0.2380936300604437,27,0
418,10,0,0.8115208984143777,0.6467241734590645,561,0
141,12,1,0.5660984169433527,0.3561843488522757,170,0
188,2,1,0.302472552236026,0.3449755218137477,31,0
77,19,0,0.6882639082471133,0.20971441241895028,360,0
236,5,0,0.6628595410701525,0.5915150843467802,21,0
179,17,0,0.9871146532159154,0.7804279380242203,566,1
361,10,1,0.9413334390127787,0.13667078486061235,228,0
350,0,1,0.3739374224090466,0.18575329409477326,271,0
310,0,1,0.7250105924985762,0.17990913748036452,189,0
295,12,1,0.9743280168816291,0.6302275588894993,189,0
453,4,1,0.5942984667533137,0.7091178777752457,524,0
231,11,1,0.3303536874254559,0.12225799537774551,439,0
483,12,0,0.8398416894483594,0.8009513936030334,565,1
33,9,0,0.16567136175466934,0.7409430190698103,225,0
379,19,0,0.8593766367263287,0.012429247992005732,378,0
444,11,1,0.14503362717427948,0.6038334993836443,561,0
267,21,1,0.6303015077746418,0.8901485522605641,530,0
54,10,1,0.9561606874386385,0.9008686652430631,138,1
215,9,1,0.011896224046817228,0.3348116772164481,455,0
451,5,0,0.5646665993627207,0.8524761308888836,357,0
275,17,1,0.579811838291326,0.41108441029447174,87,0
124,2,0,0.8544765166105077,0.6482807650223639,492,0
